current_date,TICKER,Signal,Signal_Text,cumulative_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
20260223,BMY,1,WEAK BUY,Positive: Good,Positive: Bad,Negative: Poor,Negative: Poor,Positive: Acceptable
20260223,PFE,1,WEAK BUY,Positive: Good,Positive: Bad,Negative: Poor,Negative: Poor,Positive: Acceptable
20260223,VZ,1,WEAK BUY,Positive: Good,Positive: Bad,Negative: Poor,Negative: Poor,Positive: Good
20260223,CMCSA,1,WEAK BUY,Positive: Excellent,Positive: Bad,Negative: Poor,Negative: Poor,Positive: Good
20260223,PYPL,1,WEAK BUY,Positive: Excellent,Positive: Good,Positive: Excellent,Negative: Poor,Positive: Excellent 
20260223,MO,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,T,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,CVX,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,CB,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,XOM,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,HCA,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,MRK,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,NEM,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,NOC,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,PG,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,SO,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
20260223,TMUS,1,WEAK BUY,Negative: Poor,Negative: Poor,Negative: Unacceptable,Negative: Poor,Negative: Poor
